country
USA
Russia
""
Egypt
Taiwan
Israel
China
Haiti
Germany
England
Georgia
India
Mauritius
Dominican Republic
peru
Macedonia
France
Denmark
Malaysia
Venezuela
Romania
Korea
UK
Philipines
Senegal
Poland
Canada
Jamaica
Indonesia
United States
Mexico
Serbia
Portugal
Saudi Arabia
Colombia
Ukraine
Jamaica West Indies
Ireland
Honduras
Philippines
Argentina
Australia
Turkey
Slovakia
Hong Kong
Spain
Japan
Phillippines
Panama
Phillipines
Pakistan
Guyana
South Korea
Sai Gon Vietnam
Sri Lanka
Italy
Syria
El Salvador
Vietnam
United Kingdom
Yugoslavia
Puerto Rico
Iran
Grenada
Morocco
Ecuador
USa
S. Korea
Hungary
Croatia
The Slovak Republic
Belize
Lebanon
New Zealand
England / Jamaica
Hong Kong (China)
Trinidad
Nicaragua
Nigeria
Burma
Kosovo
America
Tajikistan
Dominican
Uzbekistan
Paraguay
Kazakhstan
Dominica
Greece
Bahamas
Ghana
Belarus
Brazil
egypt
Jamaica, W.I.
Sweden
Scotland
Bolivia
Cuban
Malta
Iceland
Belgium
(ex-)USSR
Czech Republic
Albania
Norway
Bangladesh
Barbados
Cuba
US
Singapore
Columbia
West Indies
Peru
Chile
NYC
Armenia
USSR
Czechoslovakia
Trinidad & Tobago
Hong kong
Algeria
Moldova
Trinidad&Tobag
Latvia
Uruguay
Slovak Republic
South Africa
Jamaica WI
Mayaguez P.R.
Trinidad and Tobago
Albanian
Bosnia
Kazahkstan
czechoslovakia
Montserrat
Aruba
Estonia
Guatemala
Jamaica W.I.
india
Austria
Republic of China
Finland
Jaimaca
Bulgaria
Bermuda
Nevis, WI
Slovenia
Iraq
Poland, Israel
Sicily
Sc
Taiwan, ROC
Budapest
Virgin Islands
Belarusia
France/Syria
St. Vincent
Africa
USA (Italy)
Palestine
Switzerland
Indian
Samoa
Tunisia
unknown
North Ireland
Costa Rica
Tunis
Cyprus
Holland
USA (Puerto Rico)
Netherlands
Puerto Rica
Lithuania
Eastern Europe
Tanzania
JAPAN
Uraguay
Great Britain
Roumania
Cabo Rojo P.R.
ITALY
Belorus
Aden
Dominica, West Indies
china
Czech
poland
Verouca
Czechslovakia
Domincan Republic
Czecholslovakia
Helena
Austria-Hungary
Puerto Rican
Europe
yugoslavia
Asia Minor
Rumania
Soviet Union (Georgia)
USA/Puerto Rico
Republic of Macedonia (former Yugoslav)
USA (English, Native American)
Greneda
Chin
Guyna
Thailand
Ethiopia
Tobago
Belarus (Russia)
Siria
Belorussia
St. Lucia
Sir Lanka
Belarussia
Canda
Sierra Leone
St.. Vincent
Dhsuh
Pilippines
Czechkoslavakia
vietnam
Hood
Russ-Poland
Cameron
Austro-Hungarian Empire
germany
Iraq & Iran
Phililppines
Puero Rico
Russia (Ukraine)
